"ATTACHMENTS","إرفاق ملفات"
"Shipping Rule Type","نوع القاعدة الشحن"
"Go to Rooms","انتقل إلى الغرف"
"Company, Payment Account, From Date and To Date is mandatory","الشركة ، حساب الدفع ، من تاريخ وتاريخ إلزامي"
"Budget Detail","تفاصيل الميزانية"
"Please enter message before sending","الرجاء إدخال الرسالة قبل الإرسال"
"Setting up company","تأسيس شركة"
"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd
	persons, composition taxable persons and UIN holders","من بين الإمدادات الموضحة في 3.1 (أ) أعلاه ، تفاصيل اللوازم بين الدول المقدمة للأشخاص غير المسجلين والأشخاص الخاضعين للضريبة على التركيب وأصحاب UIN"
"Enable LMS","تمكين LMS"
"DUPLICATE FOR SUPPLIER","تنويه للمورد"
"Please save the report again to rebuild or update","يرجى حفظ التقرير مرة أخرى لإعادة البناء أو التحديث"
"Response and Resolution Time","زمن الاستجابة والقرار"
"Custodian","وصي"
"Point-of-Sale Profile","ملف نقطة البيع"
"{0} should be a value between 0 and 100","{0} يجب أن تكون القيمة بين 0 و 100"
"Payment of {0} from {1} to {2}","صرف {0} من {1} إلى {2}"
"Inward supplies liable to reverse charge (other than 1 & 2 above)","اللوازم الداخلة عرضة للشحن العكسي (بخلاف 1 و 2 أعلاه)"
"Purchase Order Amount(Company Currency)","مبلغ أمر الشراء (عملة الشركة)"
"Import Chart of Accounts from a csv file","استيراد مخطط الحسابات من ملف CSV"
"Unsecured Loans","القروض غير المضمونة"
"Cost Center Name","اسم مركز تكلفة"
"Max working hours against Timesheet","اقصى عدد ساعات عمل بسجل التوقيت"
"Strictly based on Log Type in Employee Checkin","يعتمد بشكل صارم على نوع السجل في تسجيل الدخول للموظف"
"Scheduled Date","المقرر تاريخ"
"Messages greater than 160 characters will be split into multiple messages","سيتم تقسيم الرسائل التي تزيد عن 160 حرفا إلى رسائل متعددة"
"Received and Accepted","تلقت ومقبول"
"GST Itemised Sales Register","غست موزعة المبيعات التسجيل"
"Staffing Plan Details","تفاصيل خطة التوظيف"
"Silt Loam","الطمي الطميية"
"Serial No Service Contract Expiry","رقم تسلسلي لانتهاء عقد الخدمة"
"Employee Health Insurance","التأمين الصحي للموظف"
"You cannot credit and debit same account at the same time","لا يمكنك الائتمان والخصم نفس الحساب في نفس الوقت"
"Adults' pulse rate is anywhere between 50 and 80 beats per minute.","معدل نبض البالغين في أي مكان بين 50 و 80 نبضة في الدقيقة الواحدة."
"Help HTML","مساعدة HTML"
"Student Group Creation Tool","طالب خلق أداة المجموعة"
"Variant Based On","البديل القائم على"
"Total weightage assigned should be 100%. It is {0}","يجب أن يكون مجموع الترجيح تعيين 100 ٪ . فمن {0}"
"Loyalty Program Tier","مستوى برنامج الولاء"
"Your Suppliers","الموردون الخاصون بك"
"Cannot set as Lost as Sales Order is made.","لا يمكن تحديدها كمفقودة اذا تم انشاء طلب المبيعات."
"Supplier Part No","رقم قطعة المورد"
"Reason for hold:","سبب الحجز:"
"Cannot deduct when category is for 'Valuation' or 'Vaulation and Total'","لا يمكن الخصم عندما تكون الفئة ""التقييم"" أو ""التقييم والإجمالي"""
"Anonymous","مجهول"
"Received From","مستلم من"
"Converted","محوّل"
"Has Serial No","يحتوي على رقم تسلسلي"
"PO Supplied Item","صنف مورّد في أمر الشراء"
"Date of Issue","تاريخ الإصدار"
"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}","وفقا لإعدادات الشراء في حالة ايصال الشراء مطلوب == 'نعم'، لإنشاء فاتورة شراء، يحتاج المستخدم إلى إنشاء إيصال الشراء أولا للصنف {0}"
"Row #{0}: Set Supplier for item {1}","الصف # {0}: حدد المورد للصنف {1}"
"Default Distance Unit","وحدة قياس المسافة الافتراضية"
"Row {0}: Hours value must be greater than zero.","صف {0}: يجب أن تكون قيمة الساعات أكبر من الصفر."
"Website Image {0} attached to Item {1} cannot be found","الموقع صورة {0} تعلق على الصنف {1} لا يمكن العثور"
"Assets","الأصول"
"Computer","الحاسوب"
"List this Item in multiple groups on the website.","قائمة هذا الصنف في مجموعات متعددة على شبكة الانترنت."
"Current Invoice End Date","تاريخ انتهاء الفاتورة الحالية"
"Due Date Based On","تاريخ الاستحقاق بناء على"
"Please set default customer group and territory in Selling Settings","يرجى تعيين مجموعة العملاء الافتراضية والأقاليم في إعدادات البيع"
"{0} {1} does not exist","{0} {1} غير موجود"
"Please check Multi Currency option to allow accounts with other currency","يرجى اختيار الخيار عملات متعددة للسماح بحسابات مع عملة أخرى"
"Item: {0} does not exist in the system","الصنف: {0} غير موجود في النظام"
"You are not authorized to set Frozen value",".أنت غير مخول لتغيير القيم المجمدة"
"Get Unreconciled Entries","الحصول على مدخلات لم تتم تسويتها"
"Employee {0} is on Leave on {1}","الموظف {0} في وضع الإجازة على {1}"
"No repayments selected for Journal Entry","لم يتم اختيار السداد لمدخل المجلة"
"GST Category","GST الفئة"
"From Invoice Date","من تاريخ الفاتورة"
"Budgets","الميزانيات"
"Disbursed","مصروف"
"Laboratory Settings","إعدادات المختبر"
"Service Unit","وحدة الخدمة"
"Successfully Set Supplier","بنجاح تعيين المورد"
"Leave Encashment","إجازة مدفوعة"
"What does it do?","مجال عمل الشركة؟"
"Tasks have been created for managing the {0} disease (on row {1})","تم إنشاء المهام لإدارة مرض {0} (في الصف {1})"
"Byproducts","منتجات جانبية"
"To Warehouse","لمستودع"
"All Student Admissions","قبول جميع الطلاب"
"Average Commission Rate","متوسط العمولة"
"No of Shares","عدد األسهم"
"لكمية","To Amount"
"'Has Serial No' can not be 'Yes' for non-stock item","""لهُ رقم تسلسل""  لا يمكن ان يكون ""نعم"" لصنف غير قابل للتخزين"
"Select Status","حدد الحالة"
"Attendance can not be marked for future dates","لا يمكن اثبات الحضور لتاريخ مستقبلي"
"Post Description Key","وظيفة الوصف"
"Pricing Rule Help","تعليمات قاعدة التسعير"
"House Name","اسم المنزل"
"Total Amount per Student","إجمالي المبلغ لكل طالب"
"Sales Stage","مرحلة المبيعات"
"Customer PO","PO العملاء"
"Account Head","رئيس حساب"
"HRA Component","مكون HRA"
"Electrical","كهربائي"
"Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts","أضف بقية أفراد مؤسستك كمستخدمين. يمكنك أيضا إضافة دعوة العملاء إلى بوابتك عن طريق إضافتهم من جهات الاتصال"
"Total Value Difference (Out - In)","إجمالي قيمة الفرق (خارج - في)"
"Location / Device ID","الموقع / معرف الجهاز"
"Requested Amount","المبلغ المطلوب"
"Row {0}: Exchange Rate is mandatory","الصف {0}: سعر الصرف إلزامي"
"Bank Charges Account","حساب الرسوم البنكية"
"User ID not set for Employee {0}","هوية المستخدم لم يتم تعيين موظف ل {0}"
"Vehicle Value","قيمة المركبة"
"Detected Diseases","الأمراض المكتشفة"
"Default Source Warehouse","المستودع المصدر الافتراضي"
"Customer Code","رمز العميل"
"Data Import Configuration","تكوين استيراد البيانات"
"Last Completion Date","تاريخ الانتهاء الأخير"
"Days Since Last Order","الأيام منذ آخر طلب"
"Debit To account must be a Balance Sheet account","مدين لحساب يجب أن يكون حساب قائمة المركز المالي"
"Naming Series","التسمية التسلسلية"
"Coated","مطلي"
"Row {0}: Expected Value After Useful Life must be less than Gross Purchase Amount","الصف {0}: القيمة المتوقعة بعد أن تكون الحياة المفيدة أقل من إجمالي مبلغ الشراء"
"Please set {0} for address {1}","يرجى ضبط {0} للعنوان {1}"
"GoCardless Settings","إعدادات GoCardless"
"Create Quality Inspection for Item {0}","إنشاء فحص الجودة للصنف {0}"
"Leave Block List Name","اسم قائمة الإجازات المحظورة"
"Certification Validity","صلاحية التصديق"
"Insurance Start date should be less than Insurance End date","يجب أن يكون تاريخ بداية التأمين قبل  تاريخ نهاية التأمين"
"Service Level Agreements","اتفاقيات مستوى الخدمة"
"Display Settings","عرض الإعدادات"
"Stock Assets","اصول المخزون"
"Active Menu","القائمة النشطة"
"Default Dimension","البعد الافتراضي"
"Target Qty","الهدف الكمية"
"Against Loan: {0}","مقابل القرض: {0}"
"Checkout Settings","إعدادات الدفع"
"Present","حاضر"
"Delivery Note {0} must not be submitted","إشعار التسليم {0} يجب ألا يكون مسجل"
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","سيتم حماية كلمة مرور المرسل بالبريد الإلكتروني للموظف ، وسيتم إنشاء كلمة المرور بناءً على سياسة كلمة المرور."
"Closing Account {0} must be of type Liability / Equity","حساب ختامي {0} يجب أن يكون من نوع الخصومات/ حقوق الملكية"
"Salary Slip of employee {0} already created for time sheet {1}","إيصال الراتب للموظف {0} تم إنشاؤه لسجل التوقيت {1}"
"Odometer","عداد المسافات"
"Ordered Qty","أمرت الكمية"
"Item {0} is disabled","تم تعطيل الصنف {0}"
"Stock Frozen Upto","المخزون المجمدة لغاية"
"BOM does not contain any stock item","فاتورة الموارد لا تحتوي على أي صنف مخزون"
"Chapter Head","رئيس الفصل"
"Search for a payment","البحث عن الدفع"
"Month(s) after the end of the invoice month","شهر (أشهر) بعد نهاية شهر الفاتورة"
"Salary Structure should have flexible benefit component(s) to dispense benefit amount","يجب أن يحتوي هيكل الرواتب على مكون (مكونات) منافع مرنة لصرف مبلغ المنافع"
"Project activity / task.","نشاط او مهمة لمشروع ."
"Very Coated","المغلفة جدا"
"Only Tax Impact (Cannot Claim But Part of Taxable Income)","التأثير الضريبي فقط (لا يمكن المطالبة إلا جزء من الدخل الخاضع للضريبة)"
"Refuelling Details","تفاصيل إعادة التزود بالوقود"
"Lab result datetime cannot be before testing datetime","لا يمكن أن يكون تاريخ نتيجة المختبر سابقا لتاريخ الفحص"
"Use Google Maps Direction API to optimize route","استخدم Google Maps Direction API لتحسين المسار"
"Allow user to edit Discount","السماح للمستخدم بتعديل الخصم"
"Get customers from","الحصول على العملاء من"
"As per rules 42 & 43 of CGST Rules","وفقًا للقواعد 42 و 43 من قواعد CGST"
"Include Exploded Items","تشمل الأصناف المستبعدة"
"Buying must be checked, if Applicable For is selected as {0}","يجب أن يتم التحقق من الشراء، إذا تم تحديد 'ينطبق على' {0}"
"Discount must be less than 100","يجب أن يكون الخصم أقل من 100"
"Start Time can't be greater than or equal to End Time \
					for {0}.","لا يمكن أن يكون وقت البدء أكبر من أو يساوي End Time \ لـ {0}."
"Restrict to Countries","تقييد البلدان"
"Alternating entries as IN and OUT during the same shift","بالتناوب إدخالات مثل IN و OUT خلال نفس التحول"
"Shared secret","سر مشترك"
"Synch Taxes and Charges","تزامن الضرائب والرسوم"
"Write Off Amount (Company Currency)","شطب المبلغ (شركة العملات)"
"Billing Hours","ساعات الفواتير"
"Total Sales Amount (via Sales Order)","إجمالي مبلغ المبيعات (عبر أمر المبيعات)"
"Default BOM for {0} not found","لم يتم العثور على قائمة المواد الافتراضية لـ {0}"
"Fiscal Year Start Date should be one year earlier than Fiscal Year End Date","يجب أن يكون تاريخ بدء السنة المالية قبل سنة واحدة من تاريخ نهاية السنة المالية"
"Row #{0}: Please set reorder quantity","الصف # {0}: يرجى تعيين (الكمية المحددة عند اعادة الطلب)"
"Tap items to add them here","انقر على الأصناف لإضافتها هنا"
"Program Enrollment","ادراج البرنامج"
"Rename Not Allowed","إعادة تسمية غير مسموح به"
"To Folio No","إلى الورقة رقم"
"Landed Cost Voucher","قسيمة تكلفة الاصل"
"Tax Category for overriding tax rates.","فئة الضرائب لتجاوز معدلات الضريبة."
"Please set {0}","الرجاء تعيين {0}"
"{0} - {1} is inactive student","{0} - {1} طالب غير نشط"
"Health Details","تفاصيل الحالة الصحية"
"Encashable days","أيام قابلة للتهيئة"
"To create a Payment Request reference document is required","لإنشاء مستند مرجع طلب الدفع مطلوب"
"Sandy Clay","الصلصال الرملي"
"Assessment  Manager","مدير التقييم"
"Allocate Payment Amount","تخصيص مبلغ الدفع"
"Subscription Plan","خطة الاشتراك"
"Salary","الراتب"
"Delivery Document Type","نوع وثيقة التسليم"
"Partly Delivered","سلمت جزئيا"
"Do not update variants on save","لا تقم بتحديث المتغيرات عند الحفظ"
"Receivables","المستحقات للغير (مدينة)"
"Lead Source","مصدر العميل المحتمل"
"Additional information regarding the customer.","معلومات إضافية عن العميل."
"Reading 5","قراءة 5"
"{0} {1} is associated with {2}, but Party Account is {3}","{0} {1} مرتبط ب {2}، ولكن حساب الطرف هو {3}"
"Bank Header","ترويسة المصرف"
"View Lab Tests","مشاهدة اختبارات مختبر"
"Hub Users","مستخدمو المحور"
"Maintenance Date","تاريخ الصيانة"
"Rejected Serial No","رقم المسلسل المرفوض"
"Year start date or end date is overlapping with {0}. To avoid please set company","تاريخ بداية السنة او نهايتها متداخل مع {0}. لتجنب ذلك الرجاء تحديد الشركة"
"Please mention the Lead Name in Lead {0}","يرجى ذكر الاسم الرائد في العميل {0}"
"Start date should be less than end date for Item {0}","يجب أن يكون تاريخ البدء قبل تاريخ الانتهاء للصنف {0}"
"Auto Attendance Settings","إعدادات الحضور التلقائي"
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","مثال: ABCD #####
 إذا تم تعيين سلسلة وليس المذكورة لا المسلسل في المعاملات، سيتم إنشاء الرقم التسلسلي ثم تلقائي على أساس هذه السلسلة. إذا كنت تريد دائما أن يذكر صراحة المسلسل رقم لهذا الصنف. ترك هذا فارغا."
"Upload Attendance","رفع الحضور"
"BOM and Manufacturing Quantity are required","مطلوب، قائمة مكونات المواد و كمية التصنيع"
"Ageing Range 2","مدى العمر 2"
"Max Strength","القوة القصوى"
"Account {0} already exists in child company {1}. The following fields have different values, they should be same:{2}","الحساب {0} موجود بالفعل في الشركة التابعة {1}. الحقول التالية لها قيم مختلفة ، يجب أن تكون هي نفسها:  {2}"
"Installing presets","تثبيت الإعدادات المسبقة"
"No Delivery Note selected for Customer {}","لم يتم تحديد ملاحظة التسليم للعميل {}"
"Rows Added in {0}","تمت إضافة الصفوف في {0}"
"Employee {0} has no maximum benefit amount","الموظف {0} ليس لديه الحد الأقصى لمبلغ الاستحقاق"
"Select Items based on Delivery Date","حدد الأصناف بناء على تاريخ التسليم"
"Has any past Grant Record","لديه أي سجل المنحة الماضية"
"Sales Analytics","تحليل المبيعات"
"Available {0}","متاح {0}"
"Prospects Engaged But Not Converted","آفاق تشارك ولكن لم تتحول"
"Manufacturing Settings","إعدادات التصنيع"
"Quality Feedback Template Parameter","نوعية ردود الفعل قالب المعلمة"
"Setting up Email","إعداد البريد الإلكتروني"
"Guardian1 Mobile No","رقم الهاتف النقال للوصي 1"
"Please enter default currency in Company Master","الرجاء إدخال العملة الافتراضية في شركة الرئيسية"
"Stock Entry Detail","تفاصيل ادخال المخزون"
"Daily Reminders","تذكير يومي"
"See all open tickets","شاهد جميع التذاكر المفتوحة"
"Brand Defaults","افتراضيات العلامة التجارية"
"Healthcare Service Unit Tree","وحدة خدمة الرعاية الصحية"
"Product","المنتج"
"Home Page is Products","الصفحة الرئيسية المنتجات غير"
"Asset Depreciation Ledger","دفتر حسابات استهلاك الأصول"
"Leave Encashment Amount Per Day","ترك Encshment المبلغ لكل يوم"
"For how much spent = 1 Loyalty Point","كم تنفق = 1 نقطة الولاء"
"Tax Rule Conflicts with {0}","تضارب القاعدة الضريبية مع {0}"
"New Account Name","اسم الحساب الجديد"
"Raw Materials Supplied Cost","المواد الخام الموردة التكلفة"
"Settings for Selling Module","إعدادات وحدة البيع"
"Hotel Room Reservation","حجز غرفة الفندق"
"Customer Service","خدمة العملاء"
"Thumbnail","المصغرات"
"No contacts with email IDs found.","لم يتم العثور على جهات اتصال مع معرّفات البريد الإلكتروني."
"Item Customer Detail","تفاصيل العميل لهذا الصنف"
"Maximum benefit amount of employee {0} exceeds {1}","أقصى مبلغ لمبلغ الموظف {0} يتجاوز {1}"
"Total allocated leaves are more than days in the period","مجموع الإجازات المخصصة هي أكثر من أيام في الفترة"
"Linked Soil Analysis","تحليل التربة المرتبط"
"Percentage","النسبة المئوية"
"Item {0} must be a stock Item","الصنف {0} يجب أن يكون الصنف الأسهم"
"Default Work In Progress Warehouse","افتراضي العمل في مستودع التقدم"
"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","جداول التداخلات {0} ، هل تريد المتابعة بعد تخطي الفتحات المتراكبة؟"
"Grant Leaves","منح الإجازات"
"Default Tax Template","نموذج الضرائب الافتراضي"
"{0} Students have been enrolled","{0} تم تسجيل الطلاب"
"Student Details","تفاصيل الطالب"
"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".","هذا هو UOM الافتراضي المستخدم للعناصر وطلبات المبيعات. احتياطي UOM هو &quot"
"Stock Qty","الأسهم الكمية"
"Ctrl+Enter to submit","Ctrl + Enter للإرسال"
"Requires Fulfilment","يتطلب وفاء"
"Default Shipping Account","حساب الشحن الافتراضي"
"Repayment Period in Months","فترة السداد بالأشهر"
"Error: Not a valid id?","خطأ: هوية غير صالحة؟"
"Update Series Number","تحديث الرقم المتسلسل"
"Equity","حقوق الملكية"
"{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry","{0} {1}: نوع حساب ""الربح والخسارة"" {2} غير مسموح به في قيد افتتاحي"
"Printing Details","تفاصيل الطباعة"
"Closing Date","تاريخ الاغلاق"
"Produced Quantity","أنتجت الكمية"
"Quantity  that must be bought or sold per UOM","الكمية التي يجب شراؤها أو بيعها لكل وحدة قياس"
"Engineer","مهندس"
"Max Amount","أقصى مبلغ"
"Total Amount Currency","عملة إجمالي المبلغ"
"Min Amt","مين امت"
"Is Customer Provided Item","هل العميل يقدم الصنف"
"Search Sub Assemblies","جمعيات البحث الفرعية"
"Item Code required at Row No {0}","كود الصنف مطلوب في الصف رقم {0}"
"SGST Account","حساب سست"
"Go to Items","انتقل إلى الأصناف"
"Partner Type","نوع الشريك"
"Actual","فعلي"
"Restaurant Manager","مدير المطعم"
"Call Log","سجل المكالمات"
"Customerwise Discount","التخفيض من ناحية العملاء"
"Timesheet for tasks.","الجدول الزمني للمهام."
"Against Expense Account","مقابل حساب المصاريف"
"Installation Note {0} has already been submitted","اشعار تركيب {0} سبق تقديمه"
"Raw Material Cost (Company Currency)","تكلفة المواد الخام (عملة الشركة)"
"House rent paid days overlapping with {0}","أيام إيجار المنازل المدفوعة تتداخل مع {0}"
"October","شهر اكتوبر"
"Get Payment Entries","الحصول على مدخلات الدفع"
"Against Docname","مقابل المستند"
"All Employee (Active)","جميع الموظفين (نشط)"
"Detailed Reason","سبب مفصل"
"View Now","عرض الآن"
"Raw Material Cost","تكلفة المواد الخام"
"Woocommerce Server URL","عنوان URL لخادم Woocommerce"
"Re-Order Level","إعادة الطلب في المستوى"
"Deduct Full Tax on Selected Payroll Date","خصم الضريبة الكاملة على تاريخ الرواتب المحدد"
"Shopify Tax/Shipping Title","Shopify الضرائب / عنوان الشحن"
"Gantt Chart","مخطط جانت"
"Cycle Type","نوع الدورة"
"Part-time","دوام جزئى"
"Applicable Holiday List","قائمة العطلات القابلة للتطبيق"
"Cheque","شيك"
"Synchronize this account","مزامنة هذا الحساب"
"Employee Emails","رسائل البريد الإلكتروني للموظفين"
"Series Updated","تم تحديث الرقم المتسلسل"
"Report Type is mandatory","نوع التقرير إلزامي"
"Serial Number Series","المسلسل عدد سلسلة"
"Sales Partner Transaction Summary","ملخص معاملات شريك المبيعات"
"Warehouse is mandatory for stock Item {0} in row {1}","المستودع إلزامي لصنف المخزون  {0} في الصف {1}"
"Retail & Wholesale","بيع بالتجزئة والجملة"
"First Responded On","أجاب أولا على"
"Other Incomes","إيرادات أخرى"
"Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0}","تم تحديد تاريخ بداية السنة المالية و تاريخ نهاية السنة المالية للسنة المالية {0}"
"Ignore User Time Overlap","تجاهل تداخل وقت المستخدم"
"Accounting Period","فترة المحاسبة"
"Clearance Date updated","تم تحديث تاريخ  الاستحقاق"
"Split Batch","تقسيم دفعة"
"Batch Identification","تحديد الدفعة"
"Successfully Reconciled","التوفيق بنجاح"
"Download PDF","تحميل PDF"
"Planned End Date","تاريخ الانتهاء المخطط له"
"Hidden list maintaining the list of contacts linked to Shareholder","قائمة مخفية الحفاظ على قائمة من الاتصالات المرتبطة المساهم"
"Current Exchange Rate","سعر الصرف الحالي"
"Sales, Purchase, Accounting Defaults","المبيعات ، الشراء ، افتراضيات المحاسبة"
"Accounting Dimension Detail","البعد المحاسبي التفاصيل"
"Donor Type information.","المانح نوع المعلومات."
"{0} on Leave on {1}","{0} غادر في{1}"
"Available for use date is required","مطلوب متاح لتاريخ الاستخدام"
"Supplier Detail","تفاصيل المورد"
"Error in formula or condition: {0}","خطأ في المعادلة أو الشرط: {0}"
"Invoiced Amount","القيمة المفوترة"
"Criteria weights must add up to 100%","يجب أن يكون مجموع أوزان المعايير 100٪"
"Attendance","الحضور"
"Stock Items","عناصر المخزن"
"Update Billed Amount in Sales Order","تحديث المبلغ المفوتر في أمر المبيعات"
"Contact Seller","تواصل مع البائع"
"Materials","المواد"
"If not checked, the list will have to be added to each Department where it has to be applied.","إذا لم يتم الاختيار، فان القائمة ستضاف إلى كل قسم حيث لابد من تطبيقها."
"Posting date and posting time is mandatory","تاريخ التسجيل ووقت التسجيل إلزامي"
"Tax template for buying transactions.","قالب الضرائب لشراء صفقة."
"Please login as a Marketplace User to report this item.","يرجى تسجيل الدخول كمستخدم Marketplace للإبلاغ عن هذا الصنف."
"Sales Partner Commission Summary","ملخص عمولة شريك المبيعات"
"Item Prices","أسعار الصنف"
"In Words will be visible once you save the Purchase Order.","وبعبارة تكون مرئية بمجرد حفظ أمر الشراء."
"Add to Holidays","أضف إلى الإجازات"
"Endpoint","نقطة النهاية"
"Period Closing Voucher","قيد إغلاق الفترة"
"Review Details","تفاصيل المراجعة"
"The shareholder does not belong to this company","لا ينتمي المساهم إلى هذه الشركة"
"Dosage Form","شكل جرعات"
"Please set up the Campaign Schedule in the Campaign {0}","يرجى إعداد جدول الحملة في الحملة {0}"
"Price List master.","الماستر الخاص بقائمة الأسعار."
"Review Date","مراجعة تاريخ"
"Allow Alternative Item","السماح لصنف بديل"
"Purchase Receipt doesn't have any Item for which Retain Sample is enabled.","لا يحتوي إيصال الشراء على أي صنف تم تمكين الاحتفاظ عينة به."
"Invoice Grand Total","الفاتورة الكبرى المجموع"
"Series for Asset Depreciation Entry (Journal Entry)","سلسلة دخول الأصول (دخول دفتر اليومية)"
"Member Since","عضو منذ"
"Advance Payments","دفعات مقدمة"
"Time logs are required for job card {0}","سجلات الوقت مطلوبة لبطاقة العمل {0}"
"Please select Healthcare Service","يرجى اختيار خدمة الرعاية الصحية"
"On Net Total","على صافي الاجمالي"
"Value for Attribute {0} must be within the range of {1} to {2} in the increments of {3} for Item {4}","يجب أن تكون قيمة للسمة {0} ضمن مجموعة من {1} إلى {2} في الزيادات من {3} لالصنف {4}"
"Product Discount Scheme","مخطط خصم المنتج"
"No issue has been raised by the caller.","لم يتم طرح مشكلة من قبل المتصل."
"Waitlisted","على قائمة الانتظار"
"Exemption Category","فئة الإعفاء"
"Currency can not be changed after making entries using some other currency","لا يمكن تغيير العملة بعد إجراء إدخالات باستخدام بعض العملات الأخرى"
"Fixed","ثابت"
"Clutch Plate","صفائح التعشيق"
"Round Off Account","حساب التقريب"
"Administrative Expenses","نفقات إدارية"
"Consulting","الاستشارات"
"Based on price list","على أساس قائمة الأسعار"
"Parent Customer Group","مجموعة عملاء أولياء الأمور"
"e-Way Bill JSON can only be generated from Sales Invoice","يمكن إنشاء فاتورة البريد الإلكتروني JSON فقط من فاتورة المبيعات"
"Maximum attempts for this quiz reached!","وصلت محاولات الحد الأقصى لهذا الاختبار!"
"Subscription","اشتراك"
"Fee Creation Pending","إنشاء الرسوم معلق"
"Duration (Days)","المدة (أيام)"
"Score Earned","نقاط مكتسبة"
"Notice Period","مدة الاشعار"
"Asset Category Name","اسم فئة الأصول"
"This is a root territory and cannot be edited.","هذا هو الجذر الأرض والتي لا يمكن تحريرها."
"New Sales Person Name","اسم مندوب المبيعات جديد"
"Gross Weight UOM","الوزن الإجمالي UOM"
"Create New Employee Id","إنشاء رقم موظف جديد"
"Set Details","تحديد التفاصيل"
"By {0}","بواسطة {0}"
"Travel From","السفر من"
"Preventive Maintenance","الصيانة الوقائية"
"Against Sales Invoice","مقابل فاتورة المبيعات"
"07-Others","07-أخرى"
"Please enter serial numbers for serialized item","الرجاء إدخال الأرقام التسلسلية للصنف المتسلسل"
"Reserved Qty for Production","الكمية المحجوزة للانتاج"
"Leave unchecked if you don't want to consider batch while making course based groups.","ترك دون تحديد إذا كنت لا ترغب في النظر في دفعة مع جعل مجموعات مقرها بالطبع."
"Frequency of Depreciation (Months)","تواتر او تكرار الاهلاك (أشهر)"
"Credit Account","حساب دائن"
"Landed Cost Item","هبوط تكلفة صنف"
"Show zero values","إظهار القيم صفر"
"Quantity of item obtained after manufacturing / repacking from given quantities of raw materials","الكمية من الأصناف التي تم الحصول عليها بعد التصنيع / إعادة التعبئة من الكميات المعطاء من المواد الخام"
"Test Group","مجموعة الاختبار"
"Entity","كيان"
"Receivable / Payable Account","القبض / حساب الدائنة"
"Against Sales Order Item","مقابل صنف طلب مبيعات"
"Company Logo","شعار الشركة"
"Default Warehouse","النماذج الافتراضية"
"Budget cannot be assigned against Group Account {0}","لايمكن أسناد الميزانية للمجموعة Account {0}"
"Show Price","عرض السعر"
"Patient Registration","تسجيل المريض"
"Please enter parent cost center","الرجاء إدخال مركز تكلفة الأب"
"Print Without Amount","طباعة بدون قيمة"
"Depreciation Date","تاريخ الإهلاك"
"Work Orders in Progress","أوامر العمل في التقدم"
"Support Team","فريق الدعم"
"Expiry (In Days)","انتهاء (في يوم)"
"Total Score (Out of 5)","مجموع نقاط (من 5)"
"Batch","باتش"
"Query Route String","سلسلة مسار الاستعلام"
"Day Book Data","كتاب اليوم البيانات"
"Update rate as per last purchase","تحديث السعر حسب آخر عملية شراء"
"Donor Type","نوع المانح"
"Auto repeat document updated","تكرار تلقائي للمستندات المحدثة"
"Balance","الرصيد"
"Please select the Company","يرجى تحديد الشركة"
"Skip Auto Attendance","تخطي الحضور التلقائي"
"Job Card","بطاقة عمل"
"Seating Capacity","عدد المقاعد"
"Is Non GST","غير GST"
"Lab Test Groups","مجموعات اختبار المختبر"
"Profitability","الربحية"
"Party Type and Party is mandatory for {0} account","نوع الجهة والجهة إلزامي لحساب {0}"
"Total Expense Claim (via Expense Claims)","مجموع المطالبة المصاريف (عبر مطالبات النفقات)"
"GST Summary","ملخص غست"
"Please enable default incoming account before creating Daily Work Summary Group","الرجاء تمكين الحساب الوارد الافتراضي قبل إنشاء مجموعة ملخص العمل اليومي"
"Total Score","مجموع النقاط"
"ISO 8601 standard","معيار ISO 8601"
"Debit Note","ملاحظة الخصم"
"You can only redeem max {0} points in this order.","لا يمكنك استرداد سوى {0} نقاط كحد أقصى بهذا الترتيب."
"Please enter API Consumer Secret","الرجاء إدخال سر عميل واجهة برمجة التطبيقات"
"As per Stock UOM","وفقا للأوراق UOM"
"Not Expired","ساري المفعول"
"Achievement","إنجاز"
"Insurer","شركة التأمين"
"Source Document Type","نوع المستند المصدر"
"Following course schedules were created","تم إنشاء الجداول الزمنية التالية"
"Employee Onboarding","اعداد الموظف"
"Total Debit","مجموع الخصم"
"Sponsored Amount","المبلغ المساند"
"Default Finished Goods Warehouse","المخزن الافتراضي للبضائع التامة الصنع"
"Please select Patient","يرجى تحديد المريض"
"Sales Person","رجل المبيعات"
"Amenities","وسائل الراحة"
"Automatically Fetch Payment Terms","جلب شروط الدفع تلقائيًا"
"Undeposited Funds Account","حساب الأموال غير المدعومة"
